Country;PostalCode;Suburb;Region;RegionCode;Province;ProvinceCode;City;Occurrences;Lat_Old;Long_Old
BE;1000;Bruxelles;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.504;43.488
BE;1020;Laeken;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.759;43.484
BE;1030;Schaerbeek;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.694;43.774
BE;1040;Etterbeek;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.327;43.884
BE;1050;Ixelles;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.333;43.667
BE;1060;Saint-Gilles;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.276;43.439
BE;1070;Anderlecht;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.362;43.145
BE;1080;Molenbeek-Saint-Jean;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.499;43.125
BE;1081;Koekelberg;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.612;43.314
BE;1082;Berchem-Sainte-Agathe;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.657;42.956
BE;1083;Ganshoren;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.707;43.153
BE;1090;Jette;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.731;43.342
BE;1120;Neder-Over-Heembeek;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;509.057;43.922
BE;1130;Haren;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.956;4.417
BE;1140;Evere;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.744;4.399
BE;1150;Woluwe-Saint-Pierre;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.551;43.707
BE;1160;Auderghem;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.167;44.333
BE;1170;Watermael-Boitsfort;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.015;44.144
BE;1180;Uccle;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.022;43.394
BE;1190;Forest;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.168;43.278
BE;1200;Woluwe-Saint-Lambert;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.439;44.291
BE;1210;Saint-Josse-Ten-Noode;Bruxelles-Capitale;BRU;Bruxelles (19 communes);BRU;Arrondissement Brussel-Hoofdstad;21;508.538;43.728
BE;2000;Antwerpen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.199;44.035
BE;2018;Antwerpen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.199;44.035
BE;2020;Antwerpen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.199;44.035
BE;2030;Antwerpen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.199;44.035
BE;2040;Lillo;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.807;4.506
BE;2040;Antwerpen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.199;44.035
BE;2040;Berendrecht;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.425;43.142
BE;2040;Zandvliet;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.593;4.31
BE;2050;Antwerpen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.199;44.035
BE;2060;Antwerpen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.199;44.035
BE;2070;Zwijndrecht;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.198;43.266
BE;2070;Burcht;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.039;43.429
BE;2100;Deurne;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.213;44.659
BE;2110;Wijnegem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.279;45.189
BE;2140;Borgerhout;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.096;44.354
BE;2150;Borsbeek;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.966;44.854
BE;2160;Wommelgem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.045;45.225
BE;2170;Merksem;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.462;4.449
BE;2180;Ekeren;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.809;44.181
BE;2200;Noorderwijk;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.412;48.406
BE;2200;Morkhoven;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.189;48.188
BE;2200;Herentals;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.766;48.325
BE;2220;Heist-Op-Den-Berg;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.754;47.283
BE;2220;Hallaar;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.842;47.292
BE;2221;Booischot;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.522;47.751
BE;2222;Itegem;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;511.033;47.286
BE;2222;Wiekevorst;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;51.108;47.924
BE;2223;Schriek;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.284;46.936
BE;2230;Herselt;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.516;48.823
BE;2230;Ramsel;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.324;48.324
BE;2235;Houtvenne;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.418;48.086
BE;2235;Westmeerbeek;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.613;48.383
BE;2235;Hulshout;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.745;47.908
BE;2240;Massenhoven;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.002;46.357
BE;2240;Zandhoven;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.149;46.616
BE;2240;Viersel;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;511.877;46.492
BE;2242;Pulderbos;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.171;46.936
BE;2243;Pulle;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.032;47.143
BE;2250;Olen;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.439;48.598
BE;2260;Oevel;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.379;49.047
BE;2260;Westerlo;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.905;49.154
BE;2260;Tongerlo;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.062;49.164
BE;2260;Zoerle-Parwijs;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;510.897;48.711
BE;2270;Herenthout;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.401;47.557
BE;2275;Lille;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;51.242;48.231
BE;2275;Wechelderzande;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;51.263;47.865
BE;2275;Gierle;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;512.685;48.673
BE;2275;Poederlee;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;512.277;48.403
BE;2280;Grobbendonk;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.904;47.356
BE;2288;Bouwel;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;511.729;47.418
BE;2290;Vorselaar;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;512.024;47.726
BE;2300;Turnhout;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;513.225;49.447
BE;2310;Rijkevorsel;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;51.348;47.605
BE;2320;Hoogstraten;Vlaanderen;VLG;Anvers;VAN;Turnhout;13;514.003;47.603
